book_id,discipline,title,family,feature_id,feature_label,count,rate_per_10k_words,segment_coverage_pct,dispersion_evenness
IR_Baylis,International Relations,The Globalization of World Politics,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,modal_auxiliary,Modal auxiliaries,5,50.1,60.0,0.5528
IR_Baylis,International Relations,The Globalization of World Politics,grammar,epistemic_hedge,Epistemic hedges,3,30.06,40.0,0.3333
IR_Baylis,International Relations,The Globalization of World Politics,grammar,booster,Boosters and emphasis,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,passive_candidate,Passive candidates,8,80.16,100.0,0.625
IR_Baylis,International Relations,The Globalization of World Politics,grammar,conditional_clause,Conditional clauses,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,concessive_clause,Concessive clauses,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,causal_clause,Causal and result clauses,3,30.06,60.0,0.5918
IR_Baylis,International Relations,The Globalization of World Politics,grammar,relative_clause_candidate,Relative-clause candidates,19,190.381,100.0,0.8066
IR_Baylis,International Relations,The Globalization of World Politics,grammar,that_complement_candidate,That-clause candidates,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,to_infinitive,To-infinitive constructions,28,280.561,100.0,0.8161
IR_Baylis,International Relations,The Globalization of World Politics,grammar,ing_form_candidate,-ing form candidates,20,200.401,100.0,0.9209
IR_Baylis,International Relations,The Globalization of World Politics,grammar,existential_there,Existential there,5,50.1,60.0,0.4523
IR_Baylis,International Relations,The Globalization of World Politics,grammar,extraposition_it,Extraposition with it,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,negation,Negation,8,80.16,60.0,0.5761
IR_Baylis,International Relations,The Globalization of World Politics,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,nominalisation_candidate,Nominalisation candidates,64,641.283,100.0,0.8335
IR_Baylis,International Relations,The Globalization of World Politics,grammar,coordination,Coordination,33,330.661,100.0,0.7529
IR_Baylis,International Relations,The Globalization of World Politics,grammar,endophoric_reference,Endophoric and cross-reference forms,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,grammar,reader_reference,Reader reference,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,meaning_access,Access to disciplinary meanings,3,30.06,40.0,0.3333
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,orientation,Orientation and navigation,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,rhetorical_relation,Rhetorical relations and importance,1,10.02,20.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,modal_auxiliary,Modal auxiliaries,13,130.261,100.0,0.6875
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,epistemic_hedge,Epistemic hedges,6,60.12,60.0,0.5141
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,booster,Boosters and emphasis,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,passive_candidate,Passive candidates,8,80.16,60.0,0.5761
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,conditional_clause,Conditional clauses,5,50.1,60.0,0.5528
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,concessive_clause,Concessive clauses,2,20.04,20.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,causal_clause,Causal and result clauses,4,40.08,60.0,0.5323
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,relative_clause_candidate,Relative-clause candidates,12,120.24,100.0,0.7875
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,that_complement_candidate,That-clause candidates,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,to_infinitive,To-infinitive constructions,43,430.862,100.0,0.8644
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,ing_form_candidate,-ing form candidates,25,250.501,100.0,0.8103
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,existential_there,Existential there,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,extraposition_it,Extraposition with it,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,negation,Negation,13,130.261,80.0,0.6433
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,interrogative,Interrogatives,1,10.02,20.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,nominalisation_candidate,Nominalisation candidates,60,601.202,100.0,0.7459
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,coordination,Coordination,34,340.681,100.0,0.843
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,endophoric_reference,Endophoric and cross-reference forms,0,0.0,0.0,0.0
IR_Goldstein,International Relations,"International Relations, Brief Edition",grammar,reader_reference,Reader reference,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,meaning_access,Access to disciplinary meanings,2,19.861,20.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,orientation,Orientation and navigation,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,rhetorical_relation,Rhetorical relations and importance,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,modal_auxiliary,Modal auxiliaries,9,89.374,80.0,0.6315
IR_Mingst,International Relations,Essentials of International Relations,grammar,epistemic_hedge,Epistemic hedges,3,29.791,20.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,booster,Boosters and emphasis,5,49.652,60.0,0.5528
IR_Mingst,International Relations,Essentials of International Relations,grammar,passive_candidate,Passive candidates,7,69.513,80.0,0.6358
IR_Mingst,International Relations,Essentials of International Relations,grammar,conditional_clause,Conditional clauses,1,9.93,20.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,concessive_clause,Concessive clauses,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,causal_clause,Causal and result clauses,4,39.722,60.0,0.5323
IR_Mingst,International Relations,Essentials of International Relations,grammar,relative_clause_candidate,Relative-clause candidates,10,99.305,100.0,0.7764
IR_Mingst,International Relations,Essentials of International Relations,grammar,that_complement_candidate,That-clause candidates,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,to_infinitive,To-infinitive constructions,21,208.54,100.0,0.7143
IR_Mingst,International Relations,Essentials of International Relations,grammar,ing_form_candidate,-ing form candidates,33,327.706,100.0,0.844
IR_Mingst,International Relations,Essentials of International Relations,grammar,existential_there,Existential there,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,extraposition_it,Extraposition with it,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,negation,Negation,11,109.235,80.0,0.666
IR_Mingst,International Relations,Essentials of International Relations,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,nominalisation_candidate,Nominalisation candidates,77,764.647,100.0,0.787
IR_Mingst,International Relations,Essentials of International Relations,grammar,coordination,Coordination,36,357.498,100.0,0.7968
IR_Mingst,International Relations,Essentials of International Relations,grammar,endophoric_reference,Endophoric and cross-reference forms,0,0.0,0.0,0.0
IR_Mingst,International Relations,Essentials of International Relations,grammar,reader_reference,Reader reference,1,9.93,20.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,meaning_access,Access to disciplinary meanings,3,30.12,40.0,0.3333
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,orientation,Orientation and navigation,0,0.0,0.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,rhetorical_relation,Rhetorical relations and importance,3,30.12,40.0,0.3333
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,grammar,modal_auxiliary,Modal auxiliaries,12,120.482,80.0,0.5918
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,grammar,epistemic_hedge,Epistemic hedges,4,40.161,60.0,0.5323
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,grammar,booster,Boosters and emphasis,1,10.04,20.0,0.0
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,grammar,passive_candidate,Passive candidates,11,110.442,80.0,0.666
IR_Dunne,International Relations,International Relations Theories: Discipline and Diversity,grammar,conditional_clause,Conditional clauses,4,40.161,60.0,0.5323
